generation	max_fitness
0	10.1
1	10.1
2	10.4
3	10.1
4	11.3
5	10.1
6	10.7
7	10.1
8	10.4
9	10.4
10	10.4
11	10.7
12	10.7
13	10.4
14	11.9
15	10.1
16	10.1
17	10.4
18	10.4
19	11.0
20	10.4
21	11.0
22	10.7
23	10.1
24	10.4
25	10.1
26	10.1
27	10.4
28	10.1
29	10.7
30	10.1
31	10.1
32	10.4
33	10.4
34	11.0
35	10.4
36	10.7
37	10.4
38	10.4
39	9.8
40	10.4
41	10.1
42	9.8
43	10.4
44	10.7
45	10.4
46	10.1
47	11.0
48	10.7
49	10.7
50	10.7
51	10.4
52	10.4
53	10.7
54	10.4
55	10.4
56	10.7
57	10.4
58	10.4
59	10.4
60	10.4
61	10.1
62	10.1
63	11.0
64	10.4
65	10.1
66	-1.6
67	-1.6
68	0.5
69	0.5
70	0.5
71	0.5
72	0.5
73	0.5
74	0.5
75	0.5
76	0.5
77	6.0
78	7.9
79	7.9
80	9.5
81	9.5
82	10.1
83	10.1
84	10.1
85	10.1
86	10.1
87	10.1
88	10.1
89	10.1
90	10.1
91	10.1
92	10.1
93	10.1
94	10.1
95	10.1
96	10.2
97	10.2
98	10.2
99	10.8
