solver	short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
cgp	C-PAR	24900	0.35579538	0.370225015	0.35719836
cgp	C-PAR	25200	0.35579538	0.370225015	0.35719836
cgp	C-PAR	25500	0.35579538	0.370225015	0.35719836
cgp	C-PAR	25800	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	26100	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	26400	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	26700	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	27000	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	27300	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	27600	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	27900	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	28200	0.35670633	0.3775305125	0.36209786
cgp	C-PAR	28500	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	28800	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	29100	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	29400	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	29700	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	30000	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	30300	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	30600	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	30900	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	31200	0.35719836	0.3781948975	0.36914913
cgp	C-PAR	31500	0.35719836	0.378872245	0.36914913
cgp	C-PAR	31800	0.35719836	0.378872245	0.36914913
cgp	C-PAR	32100	0.35719836	0.378872245	0.36914913
cgp	C-PAR	32400	0.357342715	0.378872245	0.36914913
cgp	C-PAR	32700	0.357342715	0.378872245	0.36914913
cgp	C-PAR	33000	0.357342715	0.378872245	0.36914913
cgp	C-PAR	33300	0.357342715	0.378872245	0.36914913
cgp	C-PAR	33600	0.357342715	0.378872245	0.36914913
cgp	C-PAR	33900	0.357342715	0.378872245	0.36914913
cgp	C-PAR	34200	0.357342715	0.378872245	0.36914913
cgp	C-PAR	34500	0.357342715	0.378872245	0.36914913
cgp	C-PAR	34800	0.357342715	0.378872245	0.36914913
cgp	C-PAR	35100	0.357342715	0.378872245	0.36914913
cgp	C-PAR	35400	0.357342715	0.378872245	0.36914913
cgp	C-PAR	35700	0.357342715	0.378872245	0.36914913
cgp	C-PAR	36000	0.357342715	0.378872245	0.36914913
cgp	C-PAR	36300	0.357342715	0.378872245	0.36914913
cgp	C-PAR	36600	0.357342715	0.378872245	0.36914913
cgp	C-PAR	36900	0.357342715	0.37887496	0.36914913
cgp	C-PAR	37200	0.357342715	0.37887496	0.36914913
cgp	C-PAR	37500	0.357342715	0.37887496	0.36914913
cgp	C-PAR	37800	0.357342715	0.37887496	0.36914913
cgp	C-PAR	38100	0.357342715	0.37887496	0.36914913
cgp	C-PAR	38400	0.357342715	0.37887496	0.36914913
cgp	C-PAR	38700	0.357342715	0.37887496	0.36914913
cgp	C-PAR	39000	0.357342715	0.37887496	0.36914913
cgp	C-PAR	39300	0.357342715	0.37887496	0.36914913
cgp	C-PAR	39600	0.357342715	0.37887496	0.36914913
cgp	C-PAR	39900	0.357342715	0.37887496	0.36914913
cgp	C-PAR	40200	0.357342715	0.37887496	0.36914913
cgp	C-PAR	40500	0.357342715	0.37887496	0.36914913
cgp	C-PAR	40800	0.357342715	0.37887496	0.36914913
cgp	C-PAR	41100	0.357342715	0.37887496	0.369712145
cgp	C-PAR	41400	0.360081175	0.37887496	0.372677535
cgp	C-PAR	41700	0.360081175	0.37887496	0.372677535
cgp	C-PAR	42000	0.360081175	0.37887496	0.372677535
cgp	C-PAR	42300	0.360081175	0.37887496	0.372677535
cgp	C-PAR	42600	0.360081175	0.37887496	0.372677535
cgp	C-PAR	42900	0.360081175	0.37887496	0.373072505
cgp	C-PAR	43200	0.360081175	0.37887496	0.373072505
cgp	C-PAR	43500	0.360081175	0.37887496	0.373072505
cgp	C-PAR	43800	0.360081175	0.37887496	0.373072505
cgp	C-PAR	44100	0.360081175	0.37887496	0.373072505
cgp	C-PAR	44400	0.360081175	0.37887496	0.373072505
cgp	C-PAR	44700	0.360081175	0.37887496	0.373072505
cgp	C-PAR	45000	0.360081175	0.37887496	0.373072505
cgp	C-PAR	45300	0.360081175	0.37887496	0.373072505
cgp	C-PAR	45600	0.360081175	0.37887496	0.373072505
cgp	C-PAR	45900	0.360081175	0.379062095	0.373192685
cgp	C-PAR	46200	0.360081175	0.379062095	0.373192685
cgp	C-PAR	46500	0.360081175	0.379116775	0.373192685
cgp	C-PAR	46800	0.360081175	0.379116775	0.373192685
cgp	C-PAR	47100	0.360081175	0.3795026925	0.373192685
cgp	C-PAR	47400	0.360081175	0.3795026925	0.373192685
