C-GRAD	C-PAR	C-SEQ	D-SEQ	D-PAR
0.44376346	0.44376346	0.0730698319772879	0.0390252635503808	0.29676974
0.4437203	0.46152443	0.1465845997445285	0.0845804940909147	0.22814183
0.46152443	0.20998892	0.0396673921495676	0.0617234542345007	0.384117
0.46152443	0.46152443	0.1473421754005054	0.1958173398549358	0.54422104
0.46152443	0.19581734	0.0382679409037033	0.3366835016446809	
0.44375086	0.44338593	0.0096233167375127	0.005664983143409	
0.44376346	0.46152443	0.0032407407027979	0.0870364351818959	
0.65044045	0.19581734	0.1463041046323875	0.1444350234232843	
0.4436385	0.19581734	0.0396936393032471	0.0050336699932813	
0.4437005	0.19581734	0.1887058014981448	0.0033670033638676	
