generation	max_fitness
0	10.1
1	10.1
2	10.4
3	10.4
4	10.4
5	10.1
6	10.7
7	10.4
8	10.7
9	10.4
10	10.7
11	10.4
12	10.7
13	10.7
14	10.7
15	10.4
16	10.1
17	10.4
18	10.4
19	10.1
20	10.4
21	10.4
22	10.7
23	10.4
24	11.0
25	-0.4
26	-0.4
27	-0.4
28	0.3
29	6.0
30	6.0
31	6.0
32	6.0
33	6.0
34	6.0
35	6.0
36	6.0
37	6.0
38	6.0
39	6.0
40	6.0
41	6.0
42	6.0
43	6.0
44	6.0
45	6.0
46	6.0
47	6.0
48	6.0
49	6.0
50	6.0
51	7.8
52	7.8
53	7.8
54	7.8
55	8.7
56	8.7
57	11.6
58	11.6
59	11.6
60	11.6
61	11.6
62	11.6
63	11.6
64	11.6
65	11.6
66	11.6
67	11.6
68	11.6
69	11.6
70	11.6
71	11.6
72	11.6
73	11.6
74	11.6
75	11.6
76	11.6
77	11.6
78	11.6
79	11.6
80	11.6
81	11.6
82	11.6
83	11.6
84	11.6
85	11.6
86	11.6
87	11.6
88	11.6
89	11.6
90	11.6
91	11.6
92	11.6
93	11.6
94	11.6
95	11.6
96	11.6
97	11.6
98	11.6
99	11.6
