res_0_0_100	res_0_10_90	res_0_25_75	res_0_50_50	res_10_0_90	res_10_10_80	res_10_20_70	res_25_0_75	res_33_33_33	res_50_0_50
20	33	27	61	33	77	34	28	92	59
25	23	93	78	23	93	64	46	72	78
1	26	46	67	26	23	37	59	79	81
7	73	59	55	73	85	70	43	71	61
11	15	43	63	17	26	42	47	72	55
6	27	41	75	83	21	52	28	72	58
8	83	32	77	11	60	37	32	89	77
5	47	61	62	76	45	34	61	74	56
10	66	70	67	66	59	41	33	72	54
2	19	33	54	19	52	63	89	71	70
21	86	89	67	86	24	42	44	86	68
31	59	44	68	59	91	62	30	80	
2	12	28		12	58	71	66	71	
84	18	66		18	29	60	78	87	
64	32	78		32	47	43	64	70	
79	97	38		97		34	54	92	
23	59	64		76		40	41		
57	76	54		12		37	62		
1	12	41		90		33	44		
10	90	62		81		37	29		
12	81	44		38		92	28		
2	38	29		16		63	54		
	16	28							
		54							
