res_0_0_0_100	res_0_0_20_80	res_0_20_0_80	res_10_10_10_70	res_10_20_20_50	res_20_0_0_80	res_20_20_20_40
4	39	81	48	99	81	81
63	54	81	82	99	52	80
75	54	71	39	58	28	71
51	21	52	66	52	76	79
84	28	76	51	94	31	
15	88	68	60	93	94	
16	25	76	33	57	90	
90	48	31	69			
15		94				
52		90				
85						
40						
65						
