generation	max_fitness
0	10.1
1	9.5
2	10.1
3	11.0
4	10.4
5	10.4
6	9.8
7	10.4
8	10.1
9	10.4
10	10.4
11	10.7
12	10.1
13	10.1
14	10.1
15	10.1
16	10.7
17	10.7
18	10.1
19	10.4
20	11.0
21	10.1
22	11.0
23	11.0
24	10.4
25	10.4
26	10.1
27	11.0
28	10.4
29	10.7
30	11.0
31	10.1
32	10.9
33	10.4
34	10.4
35	10.4
36	10.7
37	11.0
38	10.1
39	10.4
40	10.2
41	10.4
42	10.4
43	9.8
44	10.1
45	10.4
46	10.1
47	10.1
48	10.1
49	10.1
50	-0.4
51	-0.4
52	-0.4
53	-0.4
54	-0.4
55	0.2
56	0.2
57	0.2
58	0.2
59	0.2
60	0.2
61	0.2
62	0.2
63	0.2
64	0.2
65	0.2
66	0.2
67	0.2
68	0.2
69	0.2
70	0.2
71	0.2
72	0.2
73	0.2
74	0.2
75	0.2
76	0.2
77	0.2
78	0.2
79	0.2
80	0.2
81	0.2
82	0.2
83	0.2
84	0.2
85	0.2
86	0.2
87	0.2
88	0.2
89	0.2
90	0.2
91	0.2
92	0.2
93	0.2
94	0.2
95	0.2
96	0.2
97	0.2
98	0.2
99	0.2
