generation	max_fitness
0	10.1
1	10.1
2	9.8
3	10.1
4	9.8
5	9.8
6	10.4
7	10.4
8	10.7
9	10.4
10	-2.2
11	-2.2
12	1.8
13	1.8
14	1.8
15	1.8
16	1.8
17	1.8
18	1.8
19	6.8
20	6.8
21	6.8
22	6.8
23	6.8
24	6.8
25	6.8
26	6.8
27	6.8
28	6.8
29	6.8
30	6.8
31	6.8
32	6.8
33	6.8
34	6.8
35	6.8
36	6.8
37	6.8
38	6.8
39	6.8
40	6.8
41	7.3
42	7.3
43	7.3
44	7.3
45	7.3
46	7.3
47	7.3
48	7.3
49	7.3
50	7.3
51	7.3
52	7.3
53	7.3
54	7.3
55	7.3
56	7.3
57	7.3
58	7.3
59	7.3
60	7.3
61	7.3
62	7.3
63	7.3
64	7.3
65	7.3
66	7.3
67	7.3
68	7.3
69	7.3
70	7.3
71	7.3
72	7.3
73	7.3
74	7.3
75	7.3
76	7.3
77	7.3
78	7.3
79	7.3
80	7.3
81	7.3
82	7.3
83	7.3
84	7.3
85	7.3
86	7.3
87	7.3
88	7.3
89	7.3
90	7.3
91	7.3
92	7.3
93	7.3
94	7.3
95	7.3
96	7.3
97	7.3
98	7.3
99	7.3
