generation	max_fitness
0	11.0
1	10.7
2	11.0
3	11.0
4	10.7
5	10.4
6	10.4
7	11.3
8	10.1
9	10.4
10	10.7
11	10.7
12	10.7
13	10.7
14	10.7
15	10.9
16	10.4
17	11.2
18	10.9
19	11.0
20	10.4
21	10.1
22	10.7
23	10.7
24	10.7
25	10.7
26	10.4
27	11.9
28	10.4
29	10.7
30	10.1
31	10.4
32	9.9
33	10.7
34	10.4
35	10.1
36	10.4
37	10.4
38	10.7
39	10.4
40	10.4
41	11.3
42	10.7
43	10.4
44	10.4
45	10.7
46	10.7
47	10.4
48	10.7
49	10.4
50	10.4
51	10.1
52	10.7
53	10.4
54	10.1
55	10.1
56	10.1
57	10.2
58	10.4
59	10.4
60	10.4
61	10.6
62	10.7
63	10.7
64	9.8
65	10.4
66	-0.6
67	-0.6
68	-0.6
69	-0.6
70	-0.6
71	-0.6
72	-0.6
73	-0.6
74	-0.6
75	-0.6
76	-0.6
77	-0.6
78	-0.6
79	1.8
80	1.8
81	1.8
82	1.8
83	1.8
84	1.8
85	2.1
86	2.1
87	2.1
88	2.1
89	2.1
90	2.1
91	2.1
92	2.1
93	2.1
94	2.1
95	2.1
96	2.1
97	2.1
98	2.1
