generation	max_fitness
0	2.4
1	2.4
2	2.4
3	2.4
4	2.4
5	2.7
6	2.7
7	3.9
8	3.9
9	4.5
10	4.5
11	4.5
12	4.5
13	4.5
14	4.5
15	4.5
16	4.5
17	4.5
18	4.5
19	4.5
20	4.5
21	4.5
22	4.5
23	4.5
24	4.5
25	4.5
26	4.5
27	4.5
28	10.4
29	10.4
30	10.4
31	10.4
32	10.4
33	10.4
34	10.4
35	10.4
36	10.4
37	10.4
38	10.4
39	10.4
40	10.4
41	11.6
42	11.6
43	11.6
44	11.6
45	11.6
46	11.6
47	11.6
48	11.6
49	11.6
50	11.6
51	11.6
52	11.6
53	12.2
54	12.2
55	12.7
56	12.7
57	12.7
58	12.7
59	12.7
60	12.7
61	12.7
62	12.7
63	12.7
64	12.7
65	12.7
66	12.7
67	12.7
68	12.7
69	12.7
70	12.7
71	12.7
72	12.7
73	12.7
74	12.7
75	12.7
76	12.7
77	12.7
78	12.7
79	12.7
80	12.7
81	12.7
82	14.0
83	14.0
84	14.0
85	14.0
86	14.0
87	14.0
88	14.0
89	14.0
90	14.0
91	14.0
92	14.0
93	14.0
94	14.0
95	14.0
96	14.0
97	14.0
98	14.0
99	14.0
